Estado - Sigla,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AC,36.33379795293359,37.13227562246671,37.14116657418577,38.18989398786089,38.656466583605855,39.61455957883924,41.22138588774175,43.32561254513521,45.030892219224555,47.259010207330526,49.64415129566735,54.055974133719715,58.835799895486694,65.90442467504795,78.80365691656014,79.9245273555175,85.73923901372729,107.16693847585441,125.98416202549114
AL,30.987406973573933,29.967014680483594,31.924023329129888,30.703149069422565,31.759598328578743,33.911191033042755,35.87621751826477,37.015874915536145,37.379073886639674,38.69690271547444,42.00515784642933,46.300557487558066,50.65947032820131,56.08654539154539,66.1150174556213,65.01481689677844,65.72754213312506,87.073436282095,106.68864934269642
AM,29.02095975188056,29.886880976395616,30.7537943175503,31.887428982231093,31.418476376732237,28.59085460243417,29.512985982319485,31.45310178007457,32.76496317031923,42.03094379055806,44.80413834169254,48.48022892808238,52.672451279830554,60.540400907963004,72.85641697765706,74.74269230769231,78.64535614524623,97.09255525069223,116.7698950186927
AP,34.31041035063543,35.05705048359323,36.544112318840575,36.333967918209055,36.65869549552435,38.869442844425826,41.491367710909415,42.419348799348796,43.69824458870378,47.6569143259626,52.42551655947365,60.53596647483329,67.1754861111111,67.12496321984025,73.00574354657688,77.66295758158336,83.37382552817253,106.85346874175679,121.31620083041958
BA,31.579607187074167,30.38231473276865,32.14684147516755,32.63047182716808,32.844081343977194,34.26419104270842,35.15753252893812,35.72269749635642,36.883870356156386,37.84613177975922,39.29819344598485,43.55474248493283,50.068067356316924,53.71748477977228,60.768319928170555,62.52387965163187,64.55293995418593,85.43835471719922,107.59429812041242
CE,31.143973532578077,30.4681269630387,31.886916911659966,33.284347022868815,34.64720642769602,36.85967145323289,37.51731863733581,37.38071700823996,38.48998493190534,41.2595686776858,45.0681147639918,53.05893954458364,60.90956996610082,63.6669202780721,70.54917321395101,73.62455917845713,76.18239888671306,95.0344957305536,112.79373174048726
DF,32.734665984396784,32.94609361004363,35.20830721533707,37.676555911839046,36.95930045028208,39.27770729556682,40.15560433603266,37.31211187251786,37.41565564472609,41.33897226862467,43.57698777973853,48.985937445561476,57.71892532860182,61.88727444070946,71.46791037688082,73.37591575091575,71.02902995714977,86.77302710425626,103.74924354222253
ES,29.317718403483145,29.35912760236429,32.89592440934035,33.73623390213058,33.53767960025607,34.53985707042513,34.733677082031704,35.73879836140191,36.28901029554294,37.640686300224544,40.68113762886051,47.20447257708079,51.81305034613384,56.10519841453453,63.23644043742579,64.96125422785201,68.13400481348359,87.50779231225411,104.7376564177123
GO,29.51036031822336,29.80323518889087,32.42907273289185,33.613912099968914,33.09746225868542,37.179583236540495,40.42657675814307,40.38403764021302,40.40336889775665,41.22200294799768,42.39587973241723,46.7693061325006,56.25620128533082,60.09566975767443,71.7797523288904,71.027169529753,71.48099852642147,95.03819012040846,115.83314723213451
MA,32.10678726371243,32.30628361017258,34.48546854136001,35.896788987446214,36.87026599829176,37.57817639344985,40.16776161883968,40.531993189577534,42.35389627577558,46.83355427387873,47.93360338763729,50.98709921594982,54.250386826844874,56.62503719579398,70.64341856857016,70.78930096657496,71.52552810899189,91.58060566246041,112.49417655298512
